models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.9825255303419299,0.002328276717669987,8,0.5365554909728633,649.1412529945374,0.0,0.0,0.0,0.0,0.0,0
NetKeys,1.008731752330126,0.0036407944023883875,7,0.6645645382090041,1525.2302401065826,1.0,0.0,0.6,0.3333333333333333,0.0,3
Prim,0.9621471000649846,0.0044848790099064305,5,0.575114847512218,304.94392919540405,1.0,0.0,0.0,0.0,0.0,1
Kruskal,0.9932771882462177,0.03901212090351553,3,0.6412547019300616,625.1580414772034,1.0,0.2857142857142857,0.6,0.0,0.0,2
GPrim,0.9357195157007441,0.0025943495414537778,29,0.7778734172552751,545.7972123622894,1.0,1.0,1.0,1.0,0.0,4
