models,delta,spacing,nds,c_guided prim,c_kruskal,c_netkeys,c_prim,c_prufer,score
guided prim,1.51965719730196e-08,9.87645372343816e-05,9,0.0,1.0,1.0,1.0,1.0,4
kruskal,0.4800000219482131,0.5478372801104602,6,0.0,0.0,0.375,0.6,1.0,3
netkeys,0.24489795568830713,0.3535842471860883,8,0.0,0.16666666666666666,0.0,0.4,1.0,1
prim,0.37499998788210825,0.44714988504072534,5,0.0,0.16666666666666666,0.5,0.0,1.0,2
prufer,1.0000000047274755,1.1548128685413193,3,0.0,0.0,0.0,0.0,0.0,0
