Instance,Prufer-mean,NetKeys-mean,Prim-mean,Kruskal-mean,GPrim-mean
NIn7,28.611596512794495,40.18353238105774,28.754918813705444,35.30702157020569,43.61996941566467
NIn8,23.946170210838318,23.52677364349365,27.754054808616637,33.54302949905396,41.428439474105836
NIn9,65.26451811790466,127.49948732852936,68.95472121238708,90.47980899810791,102.46986424922943
NIn10,61.00899822711945,114.76278703212738,68.54572846889496,90.41703062057495,101.98636202812195
NIn11,248.01361932754517,1149.0536459684372,190.25107321739196,358.96470804214476,256.98423018455503
NIn12,241.79227018356323,1135.301588153839,165.85204973220826,285.6201484441757,232.04456629753113
NIn13,38.13382568359375,56.4177104473114,41.72113540172577,50.11198837757111,77.746865773201
NIn14,39.77305052280426,51.21194829940796,39.69915609359741,44.32218041419983,71.70696058273316
NIn15,122.22050406932831,155.91725859642028,102.90253994464874,124.80764281749725,222.1842731952667
NIn16,131.01209349632262,138.5490210056305,105.01877772808075,118.85340647697448,181.11086325645448
NIn17,635.56757106781,1397.2322030305863,286.73711800575256,474.6401711940765,474.5348621845245
NIn18,666.247248339653,1429.8651699781417,292.5908973693848,483.7707517147064,496.6336446046829
