models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.9574584470647688,0.02429180095892838,4,0.39712842811159615,36.266188621520996,0.0,0.0,0.0,0.0,0.0,0
NetKeys,0.9568942869799655,0.15240339744955433,3,0.49069722177715336,50.53572916984558,1.0,0.0,0.7777777777777778,0.5,0.0,3
Prim,0.8494328593221776,0.03538598789588727,9,0.5025286218367665,42.11349129676819,1.0,0.0,0.0,0.0,0.0,1
Kruskal,0.8647666861222357,0.10614843707066637,4,0.4622019285917064,46.07551431655884,0.5,0.0,0.3333333333333333,0.0,0.0,2
GPrim,1.0073556733691482,0.4058122755067664,9,3.4384083708171658,73.33102774620056,1.0,1.0,1.0,1.0,0.0,4
