models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.903802437055226,0.006001498881394466,7,0.08899950262493925,0.0,0.0,0.0,0.0,0.0,0
B,0.9135472556657687,0.009771039527861188,7,0.08486840550438857,1.0,0.0,0.08333333333333333,0.07692307692307693,0.0,1
C,0.8421962606001488,0.006035628745546362,12,0.1765445941491178,1.0,0.8571428571428571,0.0,0.23076923076923078,0.0,2
D,0.8320612611229027,0.01826724532505003,13,0.21572498255763195,1.0,0.7142857142857143,0.5,0.0,0.0,3
E,0.7770211831963749,0.038325952105746255,21,0.409596612107091,1.0,1.0,1.0,1.0,0.0,4
