models,delta,spacing,onvg,hypervolume,c_guided prim3,c_guided prim2,c_kruskal,c_netkeys,c_prim,c_prufer,score
guided prim3,0.897572907865427,0.5846751685161529,11,467.9424642736649,0.0,0.3,1.0,1.0,1.0,1.0,4
guided prim2,0.9231843640348398,1.0594680333733875,10,385.40127642820187,0.6363636363636364,0.0,1.0,1.0,1.0,1.0,5
kruskal,0.9859696061586518,0.0,2,41.91785039855779,0.0,0.0,0.0,0.42857142857142855,0.25,1.0,3
netkeys,0.9400203548189181,0.4859913564164867,7,65.73496726021006,0.0,0.0,0.0,0.0,0.0,1.0,1
prim,0.9522379215250224,1.7474960577809844,4,117.41193722949424,0.0,0.0,0.0,1.0,0.0,1.0,2
prufer,0.9429205095587008,1.3218341309978243,4,165.48877061962776,0.0,0.0,0.0,0.0,0.0,0.0,0
