models,delta,spacing,nds,c_1.0.2.0.0.1,c_1.0.2.0.1.1,c_1.0.2.0.2.1,c_1.0.2.0.3.1,c_1.0.2.0.4.1,c_1.0.2.0.5.1,score
1.0.2.0.0.1,0.0,0.0,2,0.0,0.0,0.25,0.3333333333333333,0.0,0.3333333333333333,1
1.0.2.0.1.1,0.0,0.0,2,0.0,0.0,0.25,1.0,0.0,0.0,1
1.0.2.0.2.1,3.26925240220118e-06,0.0018198312215997523,4,0.5,0.5,0.0,0.3333333333333333,0.0,0.0,3
1.0.2.0.3.1,4.7225829213903836e-07,0.0007456450038019082,3,0.0,0.0,0.25,0.0,0.0,0.0,0
1.0.2.0.4.1,5.295774731332396e-07,0.0006089246333073993,4,1.0,0.5,1.0,1.0,0.0,0.6666666666666666,5
1.0.2.0.5.1,3.386322923737417e-06,0.0015421074369105872,3,0.5,0.5,0.5,1.0,0.0,0.0,4
