models,delta,spacing,nds,hypervolume,c_1.2.2.0.0.0,c_1.2.2.0.0.1,c_1.2.2.0.0.2,c_1.2.2.0.0.3,score
1.2.2.0.0.0,0.9999998274320208,1.1544255608109955,3,0.12127299704004472,0.0,1.0,1.0,0.0,2
1.2.2.0.0.1,inf,inf,1,,0.0,0.0,0.0,0.0,0
1.2.2.0.0.2,inf,inf,1,,0.0,0.0,0.0,0.0,0
1.2.2.0.0.3,0.0,0.0,2,0.06204970838855775,0.6666666666666666,1.0,1.0,0.0,3
