models,delta,spacing,nds,c_1.0.5.0.4.0,c_1.0.5.0.4.1,c_1.0.5.0.4.2,c_1.0.5.0.4.3,c_1.0.5.0.4.4,c_1.0.5.0.4.5,c_1.0.5.0.4.6,c_1.0.5.0.4.7
1.0.5.0.4.0,0.11072651642883702,0.1689657095131337,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.5.0.4.1,0.11072651642883702,0.1689657095131337,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.5.0.4.2,0.11072651642883702,0.1689657095131337,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.5.0.4.3,0.11072651642883702,0.1689657095131337,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.5.0.4.4,0.11072651642883702,0.1689657095131337,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.5.0.4.5,0.11072651642883702,0.1689657095131337,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.5.0.4.6,0.11072651642883702,0.1689657095131337,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.5.0.4.7,0.11072651642883702,0.1689657095131337,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
