models,igd,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_HMOEA,c_GPrim,score
Prufer,0.035595948688726675,0.7655005604345577,0.0064411450567942,9,0.6776760681513975,27.28859043121338,0.0,0.36363636363636365,0.25,0.3333333333333333,0.45454545454545453,0.0,1
NetKeys,0.02629461092321685,0.7230663588375129,0.007737038897568347,11,0.7678298229395594,33.88286781311035,0.4444444444444444,0.0,0.0,0.0,0.45454545454545453,0.0,2
Prim,0.03961416916790421,0.794880856307618,0.0007874004588033636,8,0.6778186099423987,20.10494065284729,0.7777777777777778,0.8181818181818182,0.0,0.16666666666666666,0.45454545454545453,0.0,3
Kruskal,0.04977037112550907,0.8529631671516233,0.00041140505659168365,6,0.6777511526776001,31.180859804153442,0.6666666666666666,0.6363636363636364,0.25,0.0,0.45454545454545453,0.0,4
HMOEA,0.02204877138229287,0.7383051278233025,0.03602175228542789,11,0.8508648537814086,41.03955388069153,0.1111111111111111,0.36363636363636365,0.25,0.3333333333333333,0.0,0.0,0
GPrim,9.115855647506797e-05,0.5371348170268793,0.04940544253999547,20,0.8843466822736498,26.429851293563843,1.0,1.0,0.5,0.5,1.0,0.0,5
