models,delta,spacing,nds,c_guided prim,c_kruskal,c_netkeys,c_prim,c_prufer,score
guided prim,2.572011653815106e-07,0.0004953570062490758,8,0.0,1.0,0.8333333333333334,0.8571428571428571,1.0,4
kruskal,2.5339020881531837e-09,1.4628027948071577e-05,3,0.0,0.0,0.0,0.42857142857142855,1.0,2
netkeys,0.3200000010273317,7.691225525893551e-05,6,0.0,1.0,0.0,0.5714285714285714,1.0,3
prim,2.638714943955141e-07,0.0005171783185706112,7,0.0,0.0,0.3333333333333333,0.0,1.0,1
prufer,inf,inf,1,0.0,0.0,0.0,0.0,0.0,0
