models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_HMOEA,c_GPrim,score
Prufer,0.8403325190051351,0.03602634679740301,7,0.7080674016843622,37.20698833465576,0.0,0.0,0.0,0.0,0.5,0.0,1
NetKeys,0.9705019194977768,0.005785632368570717,3,0.7372267827106778,51.9489426612854,1.0,0.0,0.8,0.0,0.5,0.0,3
Prim,0.8814589560010869,0.06890128437072196,5,0.7484262431432238,41.679057359695435,1.0,0.0,0.0,0.0,0.5,0.0,2
Kruskal,0.9580859331306427,0.01930191462713094,4,0.7774965764111945,46.77072739601135,1.0,0.6666666666666666,0.8,0.0,0.5,0.0,4
HMOEA,0.9067785020390127,0.02218351795136293,4,0.731077151267861,95.1562385559082,0.14285714285714285,0.0,0.2,0.0,0.0,0.0,0
GPrim,0.9234943164997038,0.06872289224999711,9,0.890783363914183,72.58767366409302,1.0,1.0,1.0,1.0,1.0,0.0,5
