Instance,onvg_1.6.2.0.0.1_0.5,onvg_1.6.2.0.1.1_0.6,onvg_1.6.2.0.2.1_0.7,onvg_1.6.2.0.3.1_0.8,onvg_1.6.2.0.4.1_0.9,onvg_1.6.2.0.5.1_1.0,delta_1.6.2.0.0.1_0.5,delta_1.6.2.0.1.1_0.6,delta_1.6.2.0.2.1_0.7,delta_1.6.2.0.3.1_0.8,delta_1.6.2.0.4.1_0.9,delta_1.6.2.0.5.1_1.0,hypervolume_1.6.2.0.0.1_0.5,hypervolume_1.6.2.0.1.1_0.6,hypervolume_1.6.2.0.2.1_0.7,hypervolume_1.6.2.0.3.1_0.8,hypervolume_1.6.2.0.4.1_0.9,hypervolume_1.6.2.0.5.1_1.0
small_ga-dem1_r25_1_0,$11.4 \pm 1.74$,$12 \pm 1.18$,$12 \pm 1.9$,$12.4 \pm 1.11$,$13.7 \pm 1.73$,$13.2 \pm 2.27$,$0.757 \pm 0.0461$,$0.739 \pm 0.0346$,$0.753 \pm 0.0467$,$0.727 \pm 0.0304$,$0.706 \pm 0.0448$,$0.737 \pm 0.0711$,$0.0625 \pm 0.0131$,$0.0588 \pm 0.00912$,$0.071 \pm 0.00779$,$0.072 \pm 0.0149$,$0.0831 \pm 0.0153$,$0.0877 \pm 0.0153$
small_ga-dem4_r25_1_40,$5 \pm 1.26$,$4.9 \pm 0.943$,$4.8 \pm 1.33$,$5.2 \pm 2.04$,$5.7 \pm 1.62$,$4.4 \pm 1.5$,$0.904 \pm 0.029$,$0.904 \pm 0.0217$,$0.908 \pm 0.0351$,$0.899 \pm 0.0517$,$0.881 \pm 0.0384$,$0.913 \pm 0.0384$,$0.0622 \pm 0.025$,$0.0573 \pm 0.021$,$0.0624 \pm 0.0194$,$0.0595 \pm 0.0234$,$0.0732 \pm 0.0306$,$0.0419 \pm 0.0189$
small_no-dem2_r25_1_40,$3.3 \pm 1.68$,$2.7 \pm 0.781$,$2.6 \pm 1.02$,$3.3 \pm 1.1$,$3.1 \pm 1.37$,$4 \pm 0.894$,$0.941 \pm 0.043$,$0.953 \pm 0.0196$,$0.959 \pm 0.0261$,$0.941 \pm 0.0282$,$0.944 \pm 0.032$,$0.918 \pm 0.0315$,$0.0523 \pm 0.0301$,$0.0365 \pm 0.0202$,$0.0342 \pm 0.0237$,$0.0487 \pm 0.0197$,$0.0418 \pm 0.0227$,$0.0531 \pm 0.0248$
small_no-dem3_r25_1_0,$9.1 \pm 0.7$,$9.9 \pm 1.37$,$9.6 \pm 1.02$,$11.1 \pm 0.943$,$11.1 \pm 1.3$,$12.3 \pm 1$,$0.807 \pm 0.0226$,$0.794 \pm 0.0383$,$0.798 \pm 0.0257$,$0.759 \pm 0.0254$,$0.754 \pm 0.0253$,$0.748 \pm 0.0239$,$0.049 \pm 0.0108$,$0.0488 \pm 0.00754$,$0.0522 \pm 0.0123$,$0.0648 \pm 0.0188$,$0.061 \pm 0.0133$,$0.073 \pm 0.0107$
small_uu-dem4_r25_1_0,$8.6 \pm 1.28$,$9 \pm 1.79$,$9.1 \pm 0.831$,$9.3 \pm 0.9$,$9.7 \pm 1.68$,$9.6 \pm 1.02$,$0.811 \pm 0.0333$,$0.801 \pm 0.0452$,$0.796 \pm 0.0267$,$0.797 \pm 0.0214$,$0.784 \pm 0.0495$,$0.804 \pm 0.0251$,$0.0451 \pm 0.0135$,$0.0473 \pm 0.0169$,$0.0457 \pm 0.00568$,$0.0514 \pm 0.0116$,$0.0526 \pm 0.0112$,$0.0668 \pm 0.00926$
