Instance,1.6.2.0.0.1_0.5-mean,1.6.2.0.0.1_0.5-std,1.6.2.0.1.1_0.6-mean,1.6.2.0.1.1_0.6-std,1.6.2.0.2.1_0.7-mean,1.6.2.0.2.1_0.7-std,1.6.2.0.3.1_0.8-mean,1.6.2.0.3.1_0.8-std,1.6.2.0.4.1_0.9-mean,1.6.2.0.4.1_0.9-std,1.6.2.0.5.1_1.0-mean,1.6.2.0.5.1_1.0-std
small_ga-dem1_r25_1_0,11.4,1.7,12,1.2,12,1.9,12.4,1.1,\textbf{13.7},1.7,13.2,2.3
small_ga-dem4_r25_1_40,5,1.3,4.9,0.94,4.8,1.3,5.2,2,\textbf{5.7},1.6,4.4,1.5
small_no-dem2_r25_1_40,3.3,1.7,2.7,0.78,2.6,1,3.3,1.1,3.1,1.4,\textbf{4},0.89
small_no-dem3_r25_1_0,9.1,0.7,9.9,1.4,9.6,1,11.1,0.94,11.1,1.3,\textbf{12.3},1
small_uu-dem4_r25_1_0,8.6,1.3,9,1.8,9.1,0.83,9.3,0.9,\textbf{9.7},1.7,9.6,1
