models,delta,spacing,nds,c_guided prim,c_kruskal,c_netkeys,c_prim,c_prufer,score
guided prim,4.571894671179244e-08,0.00021922780212615777,9,0.0,1.0,1.0,1.0,1.0,4
kruskal,0.4897958963546814,0.7069999230640414,8,0.0,0.0,0.14285714285714285,0.7142857142857143,1.0,2
netkeys,0.8888888589805171,1.1338068963267245,7,0.0,0.75,0.0,0.8571428571428571,1.0,3
prim,0.5555555263193311,0.00034968304121486187,7,0.0,0.375,0.14285714285714285,0.0,1.0,1
prufer,1.1111110520061536,1.414018399307178,4,0.0,0.0,0.0,0.0,0.0,0
