models,delta,spacing,nds,c_netkeys,c_kruskal,c_prim,c_mprim,c_smprim
netkeys,0.32000001255173893,7.775936090188781e-05,11,0.0,0.23076923076923078,0.8888888888888888,0.2222222222222222,0.125
kruskal,4.713720563875867e-08,0.00020479289350243938,13,0.45454545454545453,0.0,0.6666666666666666,0.1111111111111111,0.08333333333333333
prim,0.6562499972545464,0.9999741382224194,9,0.0,0.0,0.0,0.0,0.0
mprim,0.20761245632489372,0.00011798760280978163,18,0.36363636363636365,0.15384615384615385,0.7777777777777778,0.0,0.08333333333333333
smprim,0.15879016845559962,0.00012291683766865567,24,0.7272727272727273,0.6153846153846154,1.0,0.7222222222222222,0.0
