models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.8602325386345271,0.8157894828467372,0.4472971687291079,5,0.009827840568123086,0.0,0.0,0.0,0.0,0.0,0.0,0
B,0.5147815170677901,0.5672514841369172,0.00013564602429313828,10,0.02406794975110948,1.0,0.0,0.0,0.0,0.0,0.0,1
C,0.7382411597644665,0.5789474043768827,0.00019541170026810605,9,0.020617851023239923,1.0,0.9,0.0,0.125,0.05,0.0,2
D,0.6082762605670002,0.6992481398711989,0.7070585290924671,8,0.02423143743188247,1.0,0.8,0.5555555555555556,0.0,0.1,0.1,3
E,6.633249580710802e-05,6.4289534554499685e-06,0.0004592946866023491,20,0.06292447113278833,1.0,1.0,0.7777777777777778,0.75,0.0,0.25,5
F,6.636244746774153e-05,6.452144429146297e-06,0.00045868300358978606,20,0.0629143511613782,1.0,1.0,0.8888888888888888,0.625,0.15,0.0,4
