models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.7551045035825845,0.7645614072330327,0.5351098658068235,5.5,0.013981198301237008,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,0.0
B,0.5053732538305264,0.5005423012594323,9.906282129992346e-05,10.8,0.023398105797712263,0.949047619047619,0.0,0.21996003996003996,0.13757631257631256,0.02,0.0,1.3
C,0.39550059871078214,0.4367251884645066,0.03024011035508421,11.9,0.02496235212438471,0.9633333333333335,0.47606560106560103,0.0,0.21827228327228326,0.034999999999999996,0.015000000000000003,2.0
D,0.46384831580909225,0.4000000579052198,0.00014930487265248159,12.4,0.02843821588186719,0.9690476190476192,0.6058541458541458,0.38547452547452554,0.0,0.08500000000000002,0.025,2.7
E,6.650019698868914e-05,6.425893831315235e-06,0.00045780218570498816,20.0,0.06287873263940257,0.9833333333333334,0.782983682983683,0.5393356643356644,0.5697069597069597,0.0,0.07500000000000001,4.1
F,6.633747523051081e-05,6.465182284405979e-06,0.00045849964785621303,20.0,0.06288982869355356,0.9833333333333334,0.8262820512820512,0.586002331002331,0.6489804639804639,0.30500000000000005,0.0,4.8
