models,delta,spacing,onvg,hypervolume,time,c_A,c_B,c_C,c_D,c_E,score
A,0.8098408085845913,0.04907063244523786,6,0.18586647766571396,24.915157079696655,0.0,0.0,0.0,0.0,0.0,0
B,0.8358188206837207,0.0,2,0.11973466799125516,56.56385326385498,1.0,0.0,1.0,0.3333333333333333,0.0,2
C,1.0,inf,1,0.0,41.05049467086792,1.0,0.0,0.0,0.3333333333333333,0.0,2
D,0.7907306174181894,0.06533384511899056,3,0.1931152689826637,54.229541540145874,1.0,0.5,0.0,0.0,0.0,2
E,0.8607284062076428,0.20583691068359947,4,0.3747211998266528,77.96444082260132,1.0,1.0,1.0,1.0,0.0,4
