models,delta,spacing,nds,c_1.2.5.0.0,c_1.2.5.0.1,c_1.2.5.0.2,c_1.2.5.0.3,c_1.2.5.0.4,c_1.2.5.0.5,score
1.2.5.0.0,6.95180313314836e-09,4.820302666649393e-05,4,0.0,0.2857142857142857,0.2,0.0,0.4444444444444444,0.4444444444444444,1
1.2.5.0.1,1.333333333998952,1.5736340177286623,7,0.75,0.0,0.0,0.75,0.2222222222222222,0.3333333333333333,2
1.2.5.0.2,0.7499999105464705,0.5476507263551925,5,0.75,0.5714285714285714,0.0,0.75,0.4444444444444444,0.6666666666666666,5
1.2.5.0.3,6.95180313314836e-09,4.820302666649393e-05,4,0.0,0.2857142857142857,0.2,0.0,0.4444444444444444,0.4444444444444444,1
1.2.5.0.4,0.6249999413666565,0.44081617962836867,9,0.0,0.42857142857142855,0.0,0.0,0.0,0.6666666666666666,2
1.2.5.0.5,0.37499998956511044,0.00015835733129996546,9,0.75,0.5714285714285714,0.0,0.75,0.4444444444444444,0.0,3
