models,delta,spacing,onvg,hypervolume,time,c_A,c_B,c_C,c_D,c_E,score
A,0.9497487455214985,0.7071163416971927,9,0.33199653309222654,119.95560383796692,0.0,0.0,0.0,0.0,0.0,0
B,0.87611971265896,0.9314527728871063,24,1.5702743543889506,1144.8961498737335,0.5555555555555556,0.0,0.0,0.0,0.0,1
C,0.9497487461173302,0.6742428410080278,11,0.41366103331322157,189.8600664138794,1.0,0.5416666666666666,0.0,0.3125,0.0,3
D,0.9463986635850218,1.1832734026218694,16,0.845257427550945,414.64683055877686,1.0,1.0,0.0,0.0,0.0,2
E,0.6031705722875028,0.497943072123766,98,3.008018226832405,256.62522745132446,1.0,1.0,1.0,1.0,0.0,4
