models,delta,spacing,onvg,hypervolume,"c_1.6.9.0.4.0_(0.9, 0.1)","c_1.6.9.0.4.1_(0.8, 0.2)","c_1.6.9.0.4.2_(0.8, 0.1)","c_1.6.9.0.4.3_(0.7, 0.2)",score
"1.6.9.0.4.0_(0.9, 0.1)",0.1657529424211217,0.0005714714309582689,33.8,0.23284525073685405,0.0,0.2921466617118791,0.3287394957983193,0.26857142857142857,1.7
"1.6.9.0.4.1_(0.8, 0.2)",0.40101570077691767,3.466856777933699e-05,24.8,0.09865778091768734,0.12183383030631609,0.0,0.13016806722689073,0.11714285714285715,0.5
"1.6.9.0.4.2_(0.8, 0.1)",0.15563444890735417,0.0006594485173606804,34.4,0.25206468350622857,0.24467199783139057,0.25747974730583423,0.0,0.21714285714285714,1.5
"1.6.9.0.4.3_(0.7, 0.2)",0.1282068958842669,0.0006988290841706498,35.0,0.2593490953105505,0.2885510978584983,0.3097827325653413,0.3777310924369748,0.0,2.3
