models,igd,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.0521561715469026,0.8207439309985327,0.0145823858035146,7.0,0.6121714345780604,17.101438999176025,0.0,0.5,0.125,0.0,0.0,1.0
NetKeys,0.0408560562529636,0.7783166053872941,0.0647576542583033,10.0,0.7640413409953103,23.14673638343811,0.1428571428571428,0.0,0.125,0.0,0.0,0.0
Prim,0.0497770947323887,0.7959691134947368,0.0006802704982269,8.0,0.6580872309582444,17.565136432647705,0.8571428571428571,0.5,0.0,0.5555555555555556,0.0,3.0
Kruskal,0.0490685849578132,0.7707222613951906,0.0135921408132232,9.0,0.7451614784910596,19.83537530899048,1.0,0.9,0.25,0.0,0.1,2.0
GPrim,0.0002588230953483,0.6009590290691866,0.0937108553456737,20.0,0.8257022484522752,24.463165283203125,1.0,1.0,0.875,0.7777777777777778,0.0,4.0
