models,igd,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_HMOEA,c_GPrim,score
Prufer,0.044402160487496664,0.8631088499700404,0.019521865117937985,6,0.6783523490853365,27.776581525802612,0.0,0.2,0.1111111111111111,0.2,0.4444444444444444,0.0,1
NetKeys,0.03818121129738459,0.7420814768930428,0.01973136756355725,10,0.8088505136622464,32.998305320739746,0.5,0.0,0.3333333333333333,0.3,0.5555555555555556,0.0,2
Prim,0.03493119253224338,0.78216702387383,0.009332412747543319,9,0.7686970229141683,19.87331199645996,0.6666666666666666,0.6,0.0,0.5,0.4444444444444444,0.05,4
Kruskal,0.032331041742959185,0.7387954954487536,0.007324447186248689,10,0.7231678961891053,29.50283432006836,0.6666666666666666,0.5,0.1111111111111111,0.0,0.5555555555555556,0.0,3
HMOEA,0.05045904089992007,0.7744318627985868,0.021365913122947743,9,0.8408067590067383,39.967507123947144,0.16666666666666666,0.3,0.3333333333333333,0.1,0.0,0.1,0
GPrim,0.000522132932711929,0.5344462515062002,0.04821407248730259,20,0.8836418550116462,25.74818515777588,1.0,0.9,0.5555555555555556,0.7,0.7777777777777778,0.0,5
