models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.9509379518449677,1.1877367686383316,8,0.1395056449610101,0.0,0.0,0.0,0.0,0.0,0.0,0
B,0.950617286772634,0.31620316419735867,10,0.21711289794290944,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,1
C,0.9393939430295059,0.7867756216463031,7,0.11811024891451745,1.0,0.4,0.0,0.07692307692307693,0.0,0.0,3
D,0.8922559062149173,1.9315090885704467,13,0.349209206264209,1.0,0.3,0.0,0.0,0.0,0.0,2
E,0.4711041866752448,0.38332318041429914,62,1.670239510988993,1.0,1.0,1.0,1.0,0.0,0.09859154929577464,4
F,0.35353557552215203,0.11865316284830534,71,1.6597197065901177,1.0,1.0,1.0,1.0,0.8064516129032258,0.0,5
