models,delta,spacing,nds,c_1.0.5.0.4.0,c_1.0.5.0.4.1,c_1.0.5.0.4.2,c_1.0.5.0.4.3,c_1.0.5.0.4.4,c_1.0.5.0.4.5,c_1.0.5.0.4.6,c_1.0.5.0.4.7,score
1.0.5.0.4.0,1.0502075630247631e-06,0.0005774080042165149,3,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0
1.0.5.0.4.1,1.1806748774508454e-05,0.0028911591047706977,4,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.25,2
1.0.5.0.4.2,1.1536989749168688e-05,0.003038836645178755,4,0.3333333333333333,0.25,0.0,0.25,0.25,0.25,0.25,0.0,1
1.0.5.0.4.3,1.175018278883518e-05,0.002962426405943155,4,0.6666666666666666,0.25,0.5,0.0,0.0,0.0,0.0,0.25,3
1.0.5.0.4.4,1.3206139699869132e-05,0.003231427362810853,4,0.6666666666666666,0.5,0.5,0.5,0.0,0.25,0.25,0.25,5
1.0.5.0.4.5,1.1685029581635456e-05,0.003034470542730784,4,0.6666666666666666,0.25,0.5,0.25,0.0,0.0,0.25,0.25,4
1.0.5.0.4.6,1.3123223823408026e-05,0.003212461533357791,4,0.6666666666666666,0.75,0.5,0.75,0.25,0.5,0.0,0.25,5
1.0.5.0.4.7,1.3516010236358511e-05,0.0032832975075890274,4,0.6666666666666666,0.5,0.75,0.5,0.5,0.5,0.5,0.0,7
