models,delta,spacing,nds,c_guided prim,c_guided prim2,c_kruskal,c_netkeys,c_prim,c_prufer,score
guided prim,4.0137115856375694e-05,0.00611454564721081,9,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,4
guided prim2,0.4444444491634763,0.5774242412192446,4,0.0,0.0,0.0,1.0,1.0,1.0,3
kruskal,0.0,0.0,2,0.0,0.0,0.0,0.5,0.16666666666666666,1.0,3
netkeys,1.111111109601695,1.1546550395784996,4,0.0,0.0,0.0,0.0,0.0,1.0,1
prim,1.1999999930349876,1.3294134318809196,6,0.0,0.0,0.0,0.5,0.0,1.0,2
prufer,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0
