models,delta,spacing,nds,c_guided prim,c_kruskal,c_netkeys,c_prim,c_prufer,score
guided prim,0.39505608873048437,0.6312723064348302,10,0.0,1.0,1.0,0.6666666666666666,1.0,4
kruskal,0.0,0.0,2,0.0,0.0,0.14285714285714285,0.0,1.0,2
netkeys,0.9444444237052263,1.4636629434461312,7,0.0,0.0,0.0,0.0,1.0,1
prim,1.279999987982902,1.2110478067165913,6,0.0,0.0,1.0,0.0,1.0,2
prufer,inf,inf,1,0.0,0.0,0.0,0.0,0.0,0
