Instance,HMOEA-mean,HMOEA-std,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn9_r25,0.826,$\pm$0.017,0.937,$\pm$0.017,0.941,$\pm$0.015,0.945,$\pm$0.017,0.923,$\pm$0.025,\textbf{0.758},$\pm$0.032
NIn9_r30,0.801,$\pm$0.022,0.935,$\pm$0.012,0.95,$\pm$0.021,0.938,$\pm$0.023,0.917,$\pm$0.017,\textbf{0.626},$\pm$0.011
NIn9_r35,0.795,$\pm$0.03,0.935,$\pm$0.018,0.96,$\pm$0.016,0.944,$\pm$0.011,0.931,$\pm$0.019,\textbf{0.594},$\pm$0.016
NIn9_r40,0.802,$\pm$0.024,0.941,$\pm$0.012,0.954,$\pm$0.023,0.932,$\pm$0.019,0.931,$\pm$0.017,\textbf{0.585},$\pm$0.014
NIn15_r25,\textbf{0.896},$\pm$0.036,0.96,$\pm$0.022,0.975,$\pm$0.033,0.969,$\pm$0.025,0.979,$\pm$0.023,0.96,$\pm$5.7e-3
NIn15_r30,\textbf{0.899},$\pm$0.037,0.965,$\pm$0.02,0.99,$\pm$8.3e-3,0.976,$\pm$0.02,0.968,$\pm$0.015,0.972,$\pm$0.01
NIn15_r35,\textbf{0.915},$\pm$0.029,0.972,$\pm$0.018,0.984,$\pm$0.013,0.97,$\pm$0.017,0.987,$\pm$0.013,0.955,$\pm$0.012
NIn15_r40,\textbf{0.92},$\pm$0.032,0.971,$\pm$0.016,0.986,$\pm$0.011,0.972,$\pm$0.021,0.984,$\pm$0.018,0.953,$\pm$6.2e-3
