models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.7017834472140076,0.7578947463439403,0.40828253172744605,6,0.014892196086197934,0.0,0.0,0.0,0.0,0.0,0
B,0.3354102046753943,0.4641148642803608,0.28866970929331004,12,0.02478905856692272,1.0,0.0,0.125,0.0,0.0,1
C,0.6538348460180066,0.6691729540424285,0.35355176308202096,8,0.016579264235251995,1.0,0.6666666666666666,0.0,0.18181818181818182,0.0,2
D,0.5123475421658199,0.4736842546575734,0.0001158110954865674,11,0.022801721495425198,1.0,0.9166666666666666,0.375,0.0,0.05,3
E,0.00011960450165141049,5.687682072754428e-06,0.00045859400840855174,20,0.06299368002042949,1.0,1.0,0.875,0.6363636363636364,0.0,4
