models,delta,spacing,nds,c_1.0.4.0.4.0,c_1.0.4.0.4.1,c_1.0.4.0.4.2,c_1.0.4.0.4.3,c_1.0.4.0.4.4,c_1.0.4.0.4.5,c_1.0.4.0.4.6,c_1.0.4.0.4.7
1.0.4.0.4.0,0.14201183459793218,7.543889929572723e-05,14,0.0,0.1,0.0,0.3,0.0,0.07692307692307693,0.0,0.0
1.0.4.0.4.1,0.44444444362111235,0.31621225382663387,10,0.7142857142857143,0.0,0.7272727272727273,0.6,0.375,0.23076923076923078,0.5384615384615384,0.25
1.0.4.0.4.2,0.3199999878876805,0.3014787987945198,11,0.7142857142857143,0.2,0.0,0.3,0.25,0.23076923076923078,0.38461538461538464,0.16666666666666666
1.0.4.0.4.3,0.6913580193907607,0.6324408414988484,10,0.5714285714285714,0.0,0.18181818181818182,0.0,0.25,0.23076923076923078,0.15384615384615385,0.0
1.0.4.0.4.4,0.6122448714891596,0.7439933686130985,8,0.7142857142857143,0.4,0.5454545454545454,0.4,0.0,0.15384615384615385,0.3076923076923077,0.25
1.0.4.0.4.5,0.3749999886864497,0.2773271155538532,13,0.7142857142857143,0.5,0.6363636363636364,0.5,0.5,0.0,0.6153846153846154,0.4166666666666667
1.0.4.0.4.6,0.6666666651834614,0.8548292742283531,13,0.9285714285714286,0.2,0.36363636363636365,0.8,0.375,0.07692307692307693,0.0,0.08333333333333333
1.0.4.0.4.7,0.1652892531907071,0.00011782560468327592,12,0.7142857142857143,0.5,0.8181818181818182,0.7,0.625,0.46153846153846156,0.6153846153846154,0.0
