models,delta,spacing,nds,c_guided prim,c_kruskal,c_netkeys,c_prim,c_prufer,score
guided prim,3.714735129838825e-05,0.00598144009115198,10,0.0,1.0,1.0,0.6666666666666666,1.0,4
kruskal,0.21874912364268725,0.3331282943205458,9,0.0,0.0,0.7142857142857143,0.0,1.0,2
netkeys,1.4444442872500771,0.4875795541392299,7,0.0,0.0,0.0,0.0,1.0,1
prim,2.0000000245066367,2.30976277400804,3,0.0,0.0,1.0,0.0,1.0,2
prufer,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0
