models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.8077460572362609,0.7499541474278806,4,1.2974211698535711,0.0,0.0,0.0,0.0,0.0,0.0,0
B,0.6393174806142036,0.06769422851516904,8,-0.9840683663604572,1.0,0.0,0.5,0.3,0.0,0.0,2
C,0.6419379257699692,0.14498549882209028,8,0.2823169174271847,1.0,0.375,0.0,0.3,0.0,0.0,1
D,0.5768491920862189,0.29803051557291604,10,7.208083327311403,1.0,0.625,0.625,0.0,0.1,0.05,3
E,0.48303596908394614,0.9113379808927942,20,55.51950588360103,1.0,1.0,0.875,0.8,0.0,0.15,4
F,0.48599916789404113,0.9126415251749314,20,55.84326698751492,1.0,1.0,1.0,0.9,0.4,0.0,5
