models,delta,spacing,onvg,hypervolume,time,c_HMOEA,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
HMOEA,0.8658319890921766,0.009984350890431865,6,0.8901276744982952,356.35975432395935,0.0,0.25,0.0,0.2,0.0,0.0,1
Prufer,0.967957675386337,0.022594814075607556,4,0.7022744201874302,155.08040571212769,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0
NetKeys,0.9572738896118069,0.01443387935037808,8,0.781726685891204,170.0503432750702,0.5,1.0,0.0,0.2,0.5,0.0,3
Prim,0.9772868837683232,0.00999994001604945,5,0.7567031031763427,121.50564098358154,0.3333333333333333,1.0,0.625,0.0,0.3333333333333333,0.0,4
Kruskal,0.9648075721187431,0.03126166999178942,6,0.815427158078687,128.522967338562,0.6666666666666666,0.5,0.0,0.2,0.0,0.0,2
GPrim,0.9858507860178058,0.05175765512718641,19,0.9558051442432502,201.50016021728516,1.0,1.0,1.0,1.0,1.0,0.0,5
