Instance,Prufer-mean,NetKeys-mean,Prim-mean,Kruskal-mean,GPrim-mean
NIn1,16.6,21.6,\textbf{16.4},19.4,23.6
NIn2,16.7,23.2,\textbf{16.4},19.4,23.7
NIn3,18.3,23.7,\textbf{17.9},21.3,25.5
NIn4,\textbf{18.0},24.1,18.0,21.0,25.7
NIn5,\textbf{17.5},23.7,18.0,20.8,25.3
NIn6,\textbf{17.7},23.1,18.2,21.0,25.8
