models,delta,spacing,nds,c_1.2.2.0.0.0,c_1.2.2.0.0.1,c_1.2.2.0.0.2,c_1.2.2.0.0.3,c_1.2.2.0.0.4,score
1.2.2.0.0.0,0.2448979422503213,0.00021499636992345476,8,0.0,0.45454545454545453,0.0,0.14285714285714285,0.5,1
1.2.2.0.0.1,1.9916114892826187e-07,0.0004502655704409105,11,0.5,0.0,0.2857142857142857,0.42857142857142855,0.5,3
1.2.2.0.0.2,2.163772178616815e-06,0.0013662509209162723,7,0.625,0.36363636363636365,0.0,0.5714285714285714,0.625,4
1.2.2.0.0.3,4.948470599952515e-08,0.00020725737425253,7,0.5,0.36363636363636365,0.14285714285714285,0.0,0.75,2
1.2.2.0.0.4,1.70722010623641e-07,0.0003615045089998278,8,0.25,0.2727272727272727,0.0,0.14285714285714285,0.0,0
