models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.9539987989011376,0.005410016910521063,7,0.06308073285338152,0.0,0.0,0.0,0.0,0.0,0
B,0.9338325427495952,0.016807919349956187,12,0.12626163265393692,1.0,0.0,0.2,0.3076923076923077,0.0,2
C,0.9705586845603454,0.0023939745658921024,10,0.07974953871202167,1.0,0.5,0.0,0.38461538461538464,0.0,3
D,0.9268429376573789,0.013185727209205106,13,0.16142566915863898,1.0,0.16666666666666666,0.0,0.0,0.0,1
E,0.9446879196462229,0.0641968831801753,68,0.8048949561069888,1.0,1.0,1.0,1.0,0.0,4
