models,delta,spacing,onvg,hypervolume,c_1.6.9.0.4.0,c_1.6.9.0.4.1,c_1.6.9.0.4.2,c_1.6.9.0.4.3,score
1.6.9.0.4.0,0.7948722326108435,0.002136235160210782,9,0.3054521296301724,0.0,0.625,0.5,0.1111111111111111,2
1.6.9.0.4.1,0.8205130795832403,0.0014896163404307331,8,0.19331157396695256,0.3333333333333333,0.0,0.25,0.0,0
1.6.9.0.4.2,0.8205130316690825,0.0011683828037468533,8,0.17334498447459923,0.3333333333333333,0.75,0.0,0.0,1
1.6.9.0.4.3,0.7948725953819618,0.002467883833915952,9,0.30751387520831075,0.8888888888888888,0.875,1.0,0.0,3
