models,delta,spacing,onvg,hypervolume,time,c_HMOEA,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
HMOEA,0.8445205105957531,0.023347796094643814,8,0.8933094938812631,338.787691116333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1
Prufer,0.9448410964439675,0.011898545390249121,6,0.6825858495196199,153.63279223442078,0.25,0.0,0.0,0.0,0.0,0.0,0
NetKeys,0.9890117550734807,0.007306678009701615,3,0.8194496561020409,154.8245439529419,0.75,1.0,0.0,0.3333333333333333,1.0,0.0,4
Prim,0.9832557285745117,0.06954070303672587,3,0.7533379712208624,108.11224174499512,0.5,1.0,0.0,0.0,0.0,0.0,2
Kruskal,0.9610517192950674,0.0,2,0.8160949803551241,113.02441096305847,0.75,0.5,0.0,0.3333333333333333,0.0,0.0,3
GPrim,0.9948908978999627,0.05954384419048224,16,0.9504050908006477,177.38126158714294,1.0,1.0,1.0,1.0,1.0,0.0,5
