models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.814060638068785,0.4999423306903567,5,-0.7009945316367201,0.0,0.0,0.0,0.0,0.0,0
B,0.6840047000383109,0.7231650739930233,8,9.110806834110637,1.0,0.0,0.375,0.14285714285714285,0.0,1
C,0.6798020031372444,0.368086770476688,8,5.188513231065468,1.0,0.5,0.0,0.14285714285714285,0.0,2
D,0.69865393500312,0.09494069454326867,7,3.2642128911612147,1.0,0.625,0.875,0.0,0.0,3
E,0.6182496145939644,0.9949045827154854,15,49.414043872057576,1.0,1.0,1.0,1.0,0.0,4
