models,delta,spacing,onvg,hypervolume,c_guided prim3,c_guided prim2,c_kruskal,c_netkeys,c_prim,c_prufer,score
guided prim3,0.9829637985147726,5.294076321167147,14,1729.0849873005193,0.0,0.46153846153846156,1.0,1.0,1.0,1.0,5
guided prim2,0.9837855296439802,5.441369080506907,13,1727.2801558387173,0.42857142857142855,0.0,1.0,0.6,1.0,1.0,4
kruskal,0.9215598395244474,0.2505806711951615,6,203.60833868047422,0.0,0.0,0.0,0.2,0.2,1.0,3
netkeys,0.9129050580043322,0.940799524094621,10,52.61578894049251,0.0,0.0,0.0,0.0,0.0,1.0,1
prim,0.9577117800991404,1.365769264133298,5,130.35817652228218,0.0,0.0,0.0,0.3,0.0,1.0,2
prufer,0.9704669081538673,3.297209833082976,4,14.891589836796754,0.0,0.0,0.0,0.0,0.0,0.0,0
