models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_HMOEA,c_GPrim,score
Prufer,0.8364252184322674,0.024026427221249466,10,0.7336144861622881,22.856112957000732,0.0,0.0,0.0,0.0,0.6,0.0,1
NetKeys,0.8988170216125877,0.022718925863631285,11,0.7657323184231261,23.522831439971924,1.0,0.0,0.5,0.0,0.7,0.0,3
Prim,0.8913939287663897,0.011612095581664532,8,0.7201660734860164,28.600555181503296,0.9,0.18181818181818182,0.0,0.0,0.6,0.0,2
Kruskal,0.8274494339746489,0.013025240683188772,14,0.8322128276668351,32.307759284973145,1.0,0.8181818181818182,0.875,0.0,0.8,0.0,4
HMOEA,0.7466281510636026,0.012306646809971747,10,0.8542200927274599,38.74364113807678,0.2,0.0,0.0,0.07142857142857142,0.0,0.0,0
GPrim,0.6741173849225685,0.018635414250344384,27,0.9060055176350871,40.69496202468872,1.0,1.0,1.0,1.0,1.0,0.0,5
