models,delta,spacing,nds,c_netkeys,c_kruskal,c_prim,c_prim-new
netkeys,0.32000001255173893,7.775936090188781e-05,11,0.0,0.23076923076923078,0.8888888888888888,0.25
kruskal,4.713720563875867e-08,0.00020479289350243938,13,0.45454545454545453,0.0,0.6666666666666666,0.5
prim,0.6562499972545464,0.9999741382224194,9,0.0,0.0,0.0,0.0
prim-new,0.48979591109940906,0.35351007016967534,8,0.36363636363636365,0.23076923076923078,0.7777777777777778,0.0
