models,igd,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.029199666951735603,0.7153934920747672,0.032956627922305685,11,0.2903417964539454,16.781088829040527,0.0,0.7,0.2,0.0,0.0,1
NetKeys,0.02944400923902939,0.7357806131532169,0.023700317797720933,10,0.28737348957069964,22.424708366394043,0.18181818181818182,0.0,0.2,0.0,0.0,0
Prim,0.03169183186900275,0.7418318103229045,0.03501052785161226,10,0.2701046884995706,16.43578052520752,0.6363636363636364,0.6,0.0,0.1,0.0,2
Kruskal,0.03485604105315313,0.7351699475457187,0.035005025742618025,10,0.2878205887221089,19.358350038528442,0.6363636363636364,1.0,0.4,0.0,0.0,3
GPrim,0.012170790577887445,0.6434180387794507,0.11752927883556237,20,0.8063048403545283,23.569162368774414,0.8181818181818182,1.0,0.4,0.7,0.0,4
