models,delta,spacing,onvg,hypervolume,time,c_HMOEA,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
HMOEA,0.8681892166707553,0.02219821741288682,5,0.7254729367729986,359.5207750797272,0.0,0.0,0.0,0.0,0.0,0.0,0
Prufer,0.9248697332470627,0.007018176575097208,5,0.5911097692402862,183.70901489257812,0.4,0.0,0.0,0.0,0.0,0.0,1
NetKeys,0.9024920856810671,0.0,2,0.6238547349590987,264.7928569316864,0.4,0.2,0.0,0.0,0.0,0.0,2
Prim,0.9732472209265796,0.012710357094286594,3,0.6942091478328429,199.59944128990173,0.6,1.0,1.0,0.0,0.75,0.0,4
Kruskal,0.9774374104911964,0.041774009288164576,4,0.6615704221029725,230.49375891685486,0.6,1.0,1.0,0.0,0.0,0.0,3
GPrim,0.96219370692087,0.10014293654226622,6,0.9007638655262455,447.2507619857788,1.0,1.0,1.0,1.0,1.0,0.0,5
