models,delta,spacing,onvg,hypervolume,time,c_A,c_B,c_C,c_D,c_E,score
A,0.9191919232403449,0.5777619527316182,3,0.11982708707990555,36.116843700408936,0.0,0.0,0.0,0.0,0.0,0
B,0.9180695921074566,1.5776243795180633,10,0.19102930281369573,126.19195771217346,1.0,0.0,0.7,0.26666666666666666,0.0,3
C,0.9180695909026998,1.080103578594143,10,0.18195232199904365,68.97638034820557,1.0,0.1,0.0,0.13333333333333333,0.0,2
D,0.8845598980331535,0.3518730840715474,15,0.3051156568073596,102.55811476707458,1.0,0.2,0.1,0.0,0.0,1
E,0.31902368739483344,0.234055763630885,73,1.660916358762941,105.72720861434937,1.0,1.0,1.0,1.0,0.0,4
