models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.9497487458441067,2.949664392861253,5,0.3712950745425896,0.0,0.0,0.0,0.0,0.0,0.0,0
B,0.9135678324832934,0.6689289057376695,21,1.442342062075487,1.0,0.0,0.0,0.0,0.0,0.0,1
C,0.9727207478532621,1.388716847047903,8,0.4055324496253958,1.0,0.2857142857142857,0.0,0.2,0.0,0.0,3
D,0.9396984967770566,0.9189270611620952,10,0.7702531217715896,1.0,1.0,0.125,0.0,0.0,0.0,2
E,0.5800956313353001,0.585360137808758,83,2.915687918416127,1.0,0.9047619047619048,1.0,0.8,0.0,0.18,4
F,0.5761129328273934,0.5737504259609639,100,3.1750832433489835,1.0,1.0,1.0,1.0,0.46987951807228917,0.0,5
