Instance,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn7,0.5170235200403297,0.02314496242512537,0.6396291006720818,0.0347065918310307,0.5934829781875501,0.028481194464212444,0.5979313352093218,0.030538046973361713,0.8385561736488345,0.0059774370200203885
NIn8,0.47671013314716887,0.01655344292504201,0.6040204581211143,0.016877799036595253,0.5996767948356555,0.02613565963573796,0.6016553177618079,0.016743293981762056,0.7272039623878717,0.013925885342057269
NIn9,0.48583822288638023,0.016207061516782143,0.6576970492712073,0.016123207009670293,0.6085179303259751,0.016852994655028066,0.6017519800500268,0.020898157515107547,0.8379497085444176,0.028802989540355265
NIn10,0.5040958014362741,0.014556142105097905,0.6971514232534881,0.02413803853616065,0.6441055019518093,0.013228729189970019,0.6344120875050194,0.019384304468627368,0.8650117882285852,0.024968523849336413
NIn11,0.43111405809651454,0.013170777768795758,0.5904731202414769,0.021525869952278627,0.5476666440601707,0.01790622261261433,0.5496665129063812,0.01872033862371333,0.6975464592478671,0.019598502774901615
NIn12,0.4335745612330456,0.012265605454298893,0.6114104821523924,0.016301508656291756,0.5500377604354287,0.009545948161107902,0.5475946081967076,0.015533245044379689,0.698976867311927,0.02449970811393405
NIn13,0.590646401685964,0.02069850354736501,0.6506048006861724,0.0230100527480255,0.6307440588886981,0.011877192068646722,0.6780107383106615,0.010474739393760008,0.7055548807033862,7.923668308636107e-05
NIn14,0.5983532576116317,0.013955663980103407,0.7065329549284746,0.034396080117545864,0.6805189083243274,0.014321426638373786,0.734511262419546,0.023391164795346378,0.8381096275793153,0.023677817292213913
NIn15,inf,,inf,,inf,,inf,,inf,
NIn16,0.6877279349704929,0.014343979270762728,0.7482962392586148,0.018841972821877346,0.7378595748001103,0.016809167940431368,0.7762512847430201,0.012406290569619931,0.9264388383083176,0.0024082807110637123
NIn17,0.5278575905112777,0.010342948584409026,0.6114560221934913,0.02722585512914921,0.5845257332530845,0.03019857195933192,0.6151917276151618,0.02596438449159319,0.7976301336304321,0.013830115761615008
NIn18,0.5154130117890819,0.008136296399739017,0.5981158114007887,0.023178246290106178,0.5778027795843733,0.029415175435368326,0.6149556338898842,0.05067178226512075,0.784197538034891,0.015213390562108084
