models,delta,spacing,onvg,hypervolume,time,c_A,c_B,c_C,c_D,c_E,score
A,0.9620695147513659,0.009064650946604602,5,0.04646969310916263,94.33170652389526,0.0,0.0,0.0,0.0,0.0,0
B,0.9017490883391314,0.01280015031871931,21,0.16304442040151304,1136.1659622192383,1.0,0.0,0.0,0.0,0.0,1
C,0.9777106568401015,0.004821568793298121,10,0.048143079829948615,164.63257336616516,1.0,0.2857142857142857,0.0,0.36363636363636365,0.0,3
D,0.9696606005080827,0.004838793751975866,11,0.11373450851466314,367.3449504375458,1.0,0.9523809523809523,0.1,0.0,0.0,2
E,0.7637230830443372,0.0022884967067743817,100,0.37193348723287883,233.34673595428467,1.0,1.0,1.0,1.0,0.0,4
