models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.8684210609083799,1.3415377976172278,5,0.027028967911851318,0.0,0.0,0.0,0.0,0.0,0.0,0
B,0.6315790430659293,0.0001026659370274155,8,0.030273639503140017,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,2
C,0.7368421684866794,0.00016280762830784697,6,0.02596977986110942,1.0,0.25,0.0,0.0,0.0,0.0,1
D,0.8157895171555561,0.0002983426358904638,5,0.02539720909090837,1.0,0.5,0.8333333333333334,0.0,0.05555555555555555,0.0,3
E,0.10526842461348075,0.000956261121703139,18,0.11898591645052137,1.0,1.0,1.0,0.8,0.0,0.29411764705882354,4
F,0.1578996481115563,0.0009816581284560087,17,0.11544579331998414,1.0,1.0,1.0,1.0,0.5555555555555556,0.0,5
