models,delta,spacing,nds,c_1.0.1.0.0.1,c_1.0.1.0.1.1,c_1.0.1.0.2.1,c_1.0.1.0.3.1,c_1.0.1.0.4.1,c_1.0.1.0.5.1
1.0.1.0.0.1,0.3466666617544142,0.49998368506737084,16,0.0,0.4375,0.6875,0.7647058823529411,0.8461538461538461,0.9375
1.0.1.0.1.1,0.23111110781414002,0.24997325814538213,16,0.375,0.0,0.5625,0.8235294117647058,0.8461538461538461,1.0
1.0.1.0.2.1,0.37333333248796063,6.550159280115905e-05,16,0.25,0.3125,0.0,0.5882352941176471,0.6153846153846154,0.9375
1.0.1.0.3.1,0.2187499907929662,0.0002453365912009142,17,0.1875,0.0625,0.3125,0.0,0.6153846153846154,0.75
1.0.1.0.4.1,0.3749999537039639,0.375451348212538,13,0.125,0.0,0.25,0.23529411764705882,0.0,0.75
1.0.1.0.5.1,0.23111104273140473,0.0006580943259472766,16,0.0625,0.0,0.0,0.23529411764705882,0.15384615384615385,0.0
