models,delta,spacing,nds,c_1.2.5.0.0,c_1.2.5.0.1,c_1.2.5.0.2,c_1.2.5.0.3,c_1.2.5.0.4,c_1.2.5.0.5,score
1.2.5.0.0,3.499999851675362,4.041238580115937,3,0.0,1.0,1.0,0.75,0.0,0.0,3
1.2.5.0.1,inf,inf,1,0.0,0.0,0.0,0.0,0.0,0.0,0
1.2.5.0.2,inf,inf,1,0.0,0.0,0.0,0.0,0.0,0.0,0
1.2.5.0.3,0.6666667766612805,0.9576415132657686,4,0.3333333333333333,1.0,1.0,0.0,0.5,0.5,2
1.2.5.0.4,0.0,0.0,2,0.3333333333333333,1.0,1.0,0.5,0.0,0.5,3
1.2.5.0.5,0.0,0.0,2,0.3333333333333333,1.0,1.0,0.5,0.5,0.0,3
