models,delta,spacing,nds,c_netkeys,c_kruskal,c_prim,c_guided prim,score
netkeys,0.612244882654181,0.7745642728783423,15,0.0,0.2222222222222222,0.5,0.0,1
kruskal,0.5624999107503278,0.0001590402962970693,9,0.6,0.0,0.3333333333333333,0.0,2
prim,0.809917339202658,0.5773185272026324,12,0.4666666666666667,0.2222222222222222,0.0,0.0,0
guided prim,0.29336689006589134,0.2577665893473036,29,1.0,1.0,1.0,0.0,3
