models,delta,spacing,onvg,hypervolume,c_1.6.6.0.0.1,c_1.6.6.0.1.1,c_1.6.6.0.2.1,c_1.6.6.0.3.1,c_1.6.6.0.4.1,c_1.6.6.0.5.1,score
1.6.6.0.0.1,0.9230769251830026,6.178350279851703e-05,4,0.018038101945815885,0.0,0.0,0.0,0.0,0.0,0.0,0
1.6.6.0.1.1,0.9230769246820555,8.39776478457461e-06,4,0.018115997262489712,0.25,0.0,0.25,0.25,0.25,0.25,5
1.6.6.0.2.1,0.9230769251830026,6.178350279851703e-05,4,0.018038101945815885,0.0,0.0,0.0,0.0,0.0,0.0,0
1.6.6.0.3.1,0.9230769251830026,6.178350279851703e-05,4,0.018038101945815885,0.0,0.0,0.0,0.0,0.0,0.0,0
1.6.6.0.4.1,0.9230769251830026,6.178350279851703e-05,4,0.018038101945815885,0.0,0.0,0.0,0.0,0.0,0.0,0
1.6.6.0.5.1,0.9230769251830026,6.178350279851703e-05,4,0.018038101945815885,0.0,0.0,0.0,0.0,0.0,0.0,0
