Instance,onvg_1.6.4.0.4.0_0.05,onvg_1.6.4.0.4.1_0.1,onvg_1.6.4.0.4.2_0.15,onvg_1.6.4.0.4.3_0.2,onvg_1.6.4.0.4.4_0.3,onvg_1.6.4.0.4.5_0.4,onvg_1.6.4.0.4.6_0.5,onvg_1.6.4.0.4.7_0.6,delta_1.6.4.0.4.0_0.05,delta_1.6.4.0.4.1_0.1,delta_1.6.4.0.4.2_0.15,delta_1.6.4.0.4.3_0.2,delta_1.6.4.0.4.4_0.3,delta_1.6.4.0.4.5_0.4,delta_1.6.4.0.4.6_0.5,delta_1.6.4.0.4.7_0.6,hypervolume_1.6.4.0.4.0_0.05,hypervolume_1.6.4.0.4.1_0.1,hypervolume_1.6.4.0.4.2_0.15,hypervolume_1.6.4.0.4.3_0.2,hypervolume_1.6.4.0.4.4_0.3,hypervolume_1.6.4.0.4.5_0.4,hypervolume_1.6.4.0.4.6_0.5,hypervolume_1.6.4.0.4.7_0.6
small_ga-dem1_r25_1_0,$8.9 \pm 1.7$,$10.4 \pm 1.28$,$10.6 \pm 1.69$,$9.8 \pm 1.78$,$11.4 \pm 1.02$,$12.5 \pm 1.96$,$12.2 \pm 1.6$,$13.3 \pm 1.68$,$0.82 \pm 0.0415$,$0.783 \pm 0.0286$,$0.779 \pm 0.0386$,$0.799 \pm 0.0398$,$0.759 \pm 0.038$,$0.732 \pm 0.0584$,$0.734 \pm 0.042$,$0.708 \pm 0.0424$,$0.044 \pm 0.0094$,$0.0479 \pm 0.00774$,$0.0534 \pm 0.0117$,$0.0521 \pm 0.00916$,$0.0552 \pm 0.00676$,$0.0629 \pm 0.00529$,$0.0611 \pm 0.00616$,$0.0659 \pm 0.0134$
small_ga-dem4_r25_1_40,$6.5 \pm 1.86$,$6.5 \pm 1.28$,$6.6 \pm 1.8$,$7.4 \pm 1.36$,$6.4 \pm 1.28$,$7.3 \pm 1.79$,$6.6 \pm 1.43$,$7.1 \pm 1.37$,$0.867 \pm 0.0505$,$0.865 \pm 0.0286$,$0.867 \pm 0.0415$,$0.849 \pm 0.0378$,$0.875 \pm 0.031$,$0.847 \pm 0.051$,$0.871 \pm 0.0321$,$0.855 \pm 0.0406$,$0.0733 \pm 0.0186$,$0.0726 \pm 0.0143$,$0.0733 \pm 0.0274$,$0.0862 \pm 0.0187$,$0.0798 \pm 0.0227$,$0.0922 \pm 0.0293$,$0.0813 \pm 0.0277$,$0.0799 \pm 0.0135$
small_no-dem2_r25_1_40,$4.4 \pm 1.74$,$4.5 \pm 0.671$,$3.7 \pm 1.1$,$3.6 \pm 1.2$,$4.8 \pm 0.872$,$3.8 \pm 0.6$,$5 \pm 1.1$,$4.3 \pm 1$,$0.909 \pm 0.0366$,$0.921 \pm 0.0237$,$0.935 \pm 0.0254$,$0.923 \pm 0.0201$,$0.907 \pm 0.0198$,$0.936 \pm 0.0156$,$0.899 \pm 0.0284$,$0.924 \pm 0.0231$,$0.06 \pm 0.0359$,$0.0612 \pm 0.019$,$0.0491 \pm 0.02$,$0.0576 \pm 0.0222$,$0.0729 \pm 0.0223$,$0.0586 \pm 0.0189$,$0.0667 \pm 0.0157$,$0.0678 \pm 0.0252$
small_no-dem3_r25_1_0,$7 \pm 1.34$,$7.3 \pm 0.64$,$8.1 \pm 1.3$,$8.3 \pm 1.1$,$8.3 \pm 1.68$,$8.9 \pm 1.76$,$9.4 \pm 1.74$,$9.8 \pm 1.89$,$0.854 \pm 0.0361$,$0.847 \pm 0.0192$,$0.835 \pm 0.0334$,$0.829 \pm 0.0265$,$0.829 \pm 0.0482$,$0.805 \pm 0.0492$,$0.808 \pm 0.0518$,$0.795 \pm 0.0546$,$0.0354 \pm 0.00753$,$0.0361 \pm 0.00824$,$0.0382 \pm 0.00779$,$0.0443 \pm 0.01$,$0.0395 \pm 0.0072$,$0.0439 \pm 0.00851$,$0.048 \pm 0.00532$,$0.0496 \pm 0.00932$
small_uu-dem4_r25_1_0,$5.8 \pm 1.83$,$6.4 \pm 1.02$,$7 \pm 1.26$,$6.9 \pm 0.7$,$7.9 \pm 1.92$,$8.3 \pm 1.19$,$7.6 \pm 1.2$,$8.6 \pm 1.28$,$0.883 \pm 0.047$,$0.873 \pm 0.0198$,$0.854 \pm 0.0381$,$0.857 \pm 0.0241$,$0.832 \pm 0.0515$,$0.825 \pm 0.0257$,$0.84 \pm 0.0337$,$0.81 \pm 0.0356$,$0.025 \pm 0.00915$,$0.0311 \pm 0.009$,$0.0318 \pm 0.00563$,$0.0308 \pm 0.00275$,$0.0368 \pm 0.00956$,$0.0388 \pm 0.0105$,$0.039 \pm 0.0047$,$0.0444 \pm 0.00983$
