models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.9723347981528893,0.006304029274840463,5,0.03666005485579671,0.0,0.0,0.0,0.0,0.0,0
B,1.0003539700263708,0.004813057512207832,10,0.10395529272874995,1.0,0.0,0.0,0.4,0.0,2
C,0.976089565395252,0.004281771059344593,7,0.03081763934773006,1.0,0.3,0.0,0.0,0.0,2
D,0.9650328064712993,0.016515457867809027,5,0.060203413245998566,1.0,0.1,0.14285714285714285,0.0,0.0,2
E,0.9470724851240288,0.004438665821643599,20,0.10561327483191078,1.0,1.0,1.0,1.0,0.0,4
