models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_HMOEA,c_GPrim,score
Prufer,0.9937434514009412,0.0,2,0.6380653554431409,110.14859890937805,0.0,0.0,0.5,0.0,0.0,0.0,1
NetKeys,0.9940018371890891,0.0,2,0.65724271444092,153.77531671524048,1.0,0.0,0.5,0.0,0.0,0.0,2
Prim,0.9523237081014854,0.0,2,0.6840307254515903,107.66006970405579,0.0,0.0,0.0,0.0,0.25,0.0,1
Kruskal,0.9335613573897751,0.0,2,0.7449629417648921,120.49474740028381,0.0,0.0,1.0,0.0,0.25,0.0,2
HMOEA,0.9099425897550648,0.013927111653645201,4,0.735830852450163,374.61153960227966,0.0,0.0,0.0,0.0,0.0,0.0,0
GPrim,0.9517538658019321,0.09584137704705459,6,0.8983153491535123,229.94385075569153,1.0,1.0,1.0,1.0,1.0,0.0,5
