models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.794786297671347,0.41825306841018095,5,5.25344330305796,0.0,0.0,0.0,0.0,0.0,0
B,0.6323145406900291,0.44572977761863963,9,-0.4863678693566946,1.0,0.0,0.5,0.3333333333333333,0.05263157894736842,2
C,0.5935209280344674,0.4317722758615595,10,9.411870973222982,1.0,0.3333333333333333,0.0,0.2222222222222222,0.0,1
D,0.5941703133525703,0.10374210436644207,9,1.790601915510166,1.0,0.4444444444444444,0.7,0.0,0.0,3
E,0.5048940162454959,0.9315996258385926,19,47.32361717602796,1.0,0.8888888888888888,1.0,1.0,0.0,4
