Instance,onvg_1.6.9.0.0.1_0.5,onvg_1.6.9.0.1.1_0.6,onvg_1.6.9.0.2.1_0.7,onvg_1.6.9.0.3.1_0.8,onvg_1.6.9.0.4.1_0.9,onvg_1.6.9.0.5.1_1.0,delta_1.6.9.0.0.1_0.5,delta_1.6.9.0.1.1_0.6,delta_1.6.9.0.2.1_0.7,delta_1.6.9.0.3.1_0.8,delta_1.6.9.0.4.1_0.9,delta_1.6.9.0.5.1_1.0,hypervolume_1.6.9.0.0.1_0.5,hypervolume_1.6.9.0.1.1_0.6,hypervolume_1.6.9.0.2.1_0.7,hypervolume_1.6.9.0.3.1_0.8,hypervolume_1.6.9.0.4.1_0.9,hypervolume_1.6.9.0.5.1_1.0
small_ga-dem1_r25_1_0,$33.8 \pm 2.27$,$33.8 \pm 1.17$,$32.5 \pm 2.2$,$29 \pm 2$,$24.8 \pm 1.33$,$22.6 \pm 0.49$,$0.166 \pm 0.0698$,$0.164 \pm 0.0361$,$0.197 \pm 0.0551$,$0.282 \pm 0.0513$,$0.401 \pm 0.0364$,$0.466 \pm 0.0246$,$0.233 \pm 0.0529$,$0.206 \pm 0.0469$,$0.176 \pm 0.0493$,$0.119 \pm 0.0124$,$0.0987 \pm 0.00707$,$0.0935 \pm 0.00555$
small_ga-dem4_r25_1_40,$20 \pm 1.67$,$19.9 \pm 1.22$,$20 \pm 1.1$,$19 \pm 1.61$,$15.1 \pm 2.43$,$14.5 \pm 2.16$,$0.517 \pm 0.0439$,$0.529 \pm 0.0372$,$0.522 \pm 0.0336$,$0.552 \pm 0.0521$,$0.641 \pm 0.0635$,$0.666 \pm 0.0581$,$0.406 \pm 0.0138$,$0.374 \pm 0.0712$,$0.388 \pm 0.0622$,$0.27 \pm 0.0989$,$0.159 \pm 0.0853$,$0.126 \pm 0.0239$
small_no-dem2_r25_1_40,$8.8 \pm 0.4$,$8.8 \pm 0.4$,$7.7 \pm 1.19$,$7.8 \pm 1.25$,$6.4 \pm 1.8$,$4 \pm 0.775$,$0.802 \pm 0.0145$,$0.8 \pm 0.0103$,$0.828 \pm 0.0304$,$0.826 \pm 0.032$,$0.863 \pm 0.0467$,$0.924 \pm 0.02$,$0.291 \pm 0.0453$,$0.284 \pm 0.0483$,$0.182 \pm 0.0886$,$0.2 \pm 0.0961$,$0.134 \pm 0.096$,$0.053 \pm 0.0247$
small_no-dem3_r25_1_0,$25.8 \pm 0.872$,$25.6 \pm 1.91$,$23 \pm 1.55$,$20.7 \pm 2.05$,$19.1 \pm 1.14$,$15.9 \pm 0.943$,$0.373 \pm 0.029$,$0.376 \pm 0.0532$,$0.441 \pm 0.0408$,$0.506 \pm 0.0595$,$0.545 \pm 0.0318$,$0.625 \pm 0.0276$,$0.175 \pm 0.0478$,$0.157 \pm 0.0438$,$0.102 \pm 0.0138$,$0.09 \pm 0.018$,$0.0794 \pm 0.00689$,$0.0642 \pm 0.0062$
small_uu-dem4_r25_1_0,$18.6 \pm 1.43$,$17.4 \pm 1.36$,$17.4 \pm 1.56$,$14.6 \pm 1.02$,$10.9 \pm 1.58$,$8.1 \pm 1.14$,$0.562 \pm 0.0432$,$0.591 \pm 0.038$,$0.584 \pm 0.0408$,$0.659 \pm 0.0246$,$0.761 \pm 0.0446$,$0.823 \pm 0.0321$,$0.139 \pm 0.0349$,$0.111 \pm 0.0269$,$0.11 \pm 0.0351$,$0.0713 \pm 0.0154$,$0.0512 \pm 0.0111$,$0.033 \pm 0.00614$
