models,delta,spacing,nds,c_1.0.5.0.0.1,c_1.0.5.0.1.1,c_1.0.5.0.2.1,c_1.0.5.0.3.1,c_1.0.5.0.4.1,c_1.0.5.0.5.1
1.0.5.0.0.1,1.1234651053459999e-05,0.003025879098940729,5,0.0,1.0,0.8333333333333334,0.4,0.2,1.0
1.0.5.0.1.1,8.91911952294322e-07,0.0010047055290655367,5,0.0,0.0,0.0,0.0,0.0,0.4
1.0.5.0.2.1,9.377671704147162e-06,0.0029310338038864275,6,0.2,0.6,0.0,0.2,0.2,0.6
1.0.5.0.3.1,1.1394957389554428e-05,0.0030541966759844528,5,0.4,1.0,0.8333333333333334,0.0,0.2,1.0
1.0.5.0.4.1,1.1385822347886876e-05,0.0030515896227413164,5,0.6,1.0,0.8333333333333334,0.6,0.0,1.0
1.0.5.0.5.1,1.3655601641127113e-06,0.0011677636152128258,5,0.0,0.4,0.16666666666666666,0.0,0.0,0.0
