models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.944129024082875,0.011609428708509603,3,0.053911143141980866,0.0,0.0,0.0,0.0,0.0,0
B,0.9438922679143303,0.017621208683102806,18,0.1665351251880783,0.6666666666666666,0.0,0.0,0.0,0.0,1
C,0.9720044272865707,0.004156884383276318,9,0.06298427208621638,1.0,0.2222222222222222,0.0,0.0,0.0,2
D,0.9677404292186087,0.017903681009763937,16,0.12794395702931172,0.6666666666666666,0.9444444444444444,0.5555555555555556,0.0,0.0,3
E,0.7460637325387864,0.002839795792564847,99,0.4035077764765692,1.0,1.0,1.0,0.875,0.0,4
