models,delta,spacing,nds,c_netkeys,c_prim,c_kruskal,c_guided prim
netkeys,0.9374999722547123,1.3332759414280317,9,0.0,0.0,0.1111111111111111,0.0
prim,0.6122448613491279,0.00030655980273461124,8,0.7777777777777778,0.0,0.6666666666666666,0.08333333333333333
kruskal,0.3749999837705225,0.333332758979494,9,0.5555555555555556,0.25,0.0,0.16666666666666666
guided prim,0.16528930651975013,0.28897980712192656,12,0.7777777777777778,0.625,0.5555555555555556,0.0
