models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.9376737392923542,0.0478138792282779,3,0.5914026171924811,37.269370555877686,0.0,0.0,0.0,0.0,0.0,0
NetKeys,0.9083440774794174,0.030798321783898207,7,0.7413318953151331,52.10161590576172,1.0,0.0,1.0,0.8,0.0,3
Prim,0.9003661760723031,0.029630056127692428,5,0.6699528749174398,43.54301834106445,1.0,0.0,0.0,0.0,0.0,1
Kruskal,0.9407321834828675,0.04030988459273895,5,0.7228163333420099,47.5978946685791,1.0,0.14285714285714285,0.6,0.0,0.0,2
GPrim,0.9475533592056681,0.15705707443061653,9,0.8336349553063565,77.94035744667053,1.0,1.0,1.0,1.0,0.0,4
