models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.7516284336257442,0.7687719265732417,0.3692174192956291,5.7,0.015179827726221586,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.526120942473694,0.522046817105355,0.031724304286290375,10.5,0.023855154118495727,1.0,0.0,0.22080808080808084,0.1431818181818182,0.005,0.0,1.2
C,0.5978829173372275,0.5200000372394167,0.03024052141334283,10.2,0.021817220944759137,1.0,0.612008547008547,0.0,0.24522727272727277,0.025,0.005,2.1
D,0.6759731476642974,0.5202172626944359,0.13408324943856667,10.4,0.027247571642166273,1.0,0.6467307692307692,0.4314918414918415,0.0,0.085,0.039999999999999994,2.7
E,6.64653038150751e-05,6.438462408579556e-06,0.00045837576957030447,20.0,0.0629045658027303,1.0,0.8878671328671329,0.6697047397047396,0.6930303030303031,0.0,0.12000000000000002,4.3
F,6.63646511159345e-05,6.429732141478045e-06,0.00045886158080824907,20.0,0.06292013903434814,1.0,0.9336247086247088,0.7387956487956487,0.7861363636363637,0.27,0.0,4.7
